name,party,option_code,color
"Karel Cerny (CSSD, Vysocina)",CSSD,1,orange
"Richard Dolejs (CSSD, Stredocesky)",CSSD,1,orange
"Jaroslav Foldyna (CSSD, Ustecky)",CSSD,1,orange
"Jan Hamacek (CSSD, Stredocesky)",CSSD,1,orange
"Pavel Havir (CSSD, Pardubicky)",CSSD,1,orange
"Jan Chvojka (CSSD, Pardubicky)",CSSD,1,orange
"Igor Jakubcik (CSSD, Plzensky)",CSSD,1,orange
"Vitezslav Jandak (CSSD, Jihocesky)",CSSD,1,orange
"Zuzana Kailova (CSSD, Ustecky)",CSSD,1,orange
"Petr Korenek (CSSD, Zlinsky)",CSSD,1,orange
"Josef Novotny (CSSD, Karlovarsky)",CSSD,1,orange
"Milos Petera (CSSD, Stredocesky)",CSSD,1,orange
"Jiri Petru (CSSD, Jihomoravsky)",CSSD,1,orange
"Adam Rykala (CSSD, Moravskoslezsky)",CSSD,1,orange
"Antonin Seda (CSSD, Zlinsky)",CSSD,1,orange
"Roman Sklenak (CSSD, Jihomoravsky)",CSSD,1,orange
"Miroslava Strnadlova (CSSD, Zlinsky)",CSSD,1,orange
"Stepan Stupcuk (CSSD, Praha)",CSSD,1,orange
"Lubomir Toufar (CSSD, Jihomoravsky)",CSSD,1,orange
"Milan Urban (CSSD, Stredocesky)",CSSD,1,orange
"Dana Vahalova (CSSD, Moravskoslezsky)",CSSD,1,orange
"Ladislav Velebny (CSSD, Moravskoslezsky)",CSSD,1,orange
"Lubomir Zaoralek (CSSD, Moravskoslezsky)",CSSD,1,orange
"Jaroslav Zavadil (CSSD, Praha)",CSSD,1,orange
"Vaclav Zemek (CSSD, Stredocesky)",CSSD,1,orange
"Vlasta Bohdalova (CSSD, Jihocesky)",CSSD,1,orange
"Vlastimil Gabrhel (CSSD, Jihomoravsky)",CSSD,1,orange
"Andrej Babis (ANO, Praha)",ANO,1,cyan
"Petr Adam (Usvit, Jihomoravsky)",Usvit,1,yellowgreen
"Marek Cernoch (Usvit, Stredocesky)",Usvit,1,yellowgreen
"Jana Hnykova (Usvit, Liberecky)",Usvit,1,yellowgreen
"Jiri Stetina (Usvit, Kralovehradecky)",Usvit,1,yellowgreen
"Milos Babis (ANO, Stredocesky)",ANO,1,cyan
"Margita Balastikova (ANO, Zlinsky)",ANO,1,cyan
"Martina Berdychova (ANO, Kralovehradecky)",ANO,1,cyan
"Richard Brabec (ANO, Ustecky)",ANO,1,cyan
"Milan Brazdil (ANO, Olomoucky)",ANO,1,cyan
"Ivana Dobesova (ANO, Stredocesky)",ANO,1,cyan
"Jaroslav Faltynek (ANO, Olomoucky)",ANO,1,cyan
"Matej Fichtner (ANO, Praha)",ANO,1,cyan
"Josef Hajek (ANO, Moravskoslezsky)",ANO,1,cyan
"Jiri Holecek (ANO, Praha)",ANO,1,cyan
"Bohuslav Chalupa (ANO, Jihomoravsky)",ANO,1,cyan
"Miloslav Janulik (ANO, Jihomoravsky)",ANO,1,cyan
"Vera Jourova (ANO, Vysocina)",ANO,1,cyan
"David Kasal (ANO, Pardubicky)",ANO,1,cyan
"Martin Kolovratnik (ANO, Pardubicky)",ANO,1,cyan
"Martin Komarek (ANO, Liberecky)",ANO,1,cyan
"Roman Kubicek (ANO, Jihocesky)",ANO,1,cyan
"Radka Maxova (ANO, Jihocesky)",ANO,1,cyan
"Igor Nykl (ANO, Moravskoslezsky)",ANO,1,cyan
"Ladislav Oklestek (ANO, Olomoucky)",ANO,1,cyan
"Jana Pastuchova (ANO, Liberecky)",ANO,1,cyan
"Stanislav Pfleger (ANO, Ustecky)",ANO,1,cyan
"Ivan Pilny (ANO, Kralovehradecky)",ANO,1,cyan
"Roman Prochazka (ANO, Karlovarsky)",ANO,1,cyan
"Karel Rais (ANO, Jihomoravsky)",ANO,1,cyan
"Jan Sedlacek (ANO, Moravskoslezsky)",ANO,1,cyan
"Martin Sedlar (ANO, Moravskoslezsky)",ANO,1,cyan
"Bronislav Schwarz (ANO, Ustecky)",ANO,1,cyan
"Zdenek Soukup (ANO, Karlovarsky)",ANO,1,cyan
"Pavel Volcik (ANO, Zlinsky)",ANO,1,cyan
"Jan Volny (ANO, Plzensky)",ANO,1,cyan
"Radek Vondracek (ANO, Zlinsky)",ANO,1,cyan
"Josef Vozdecky (ANO, Plzensky)",ANO,1,cyan
"Vlastimil Vozka (ANO, Ustecky)",ANO,1,cyan
"Rostislav Vyzula (ANO, Jihomoravsky)",ANO,1,cyan
"Josef Kott (ANO, Vysocina)",ANO,1,cyan
"Ondrej Benesik (KDU-CSL, Zlinsky)",KDU-CSL,1,yellow
"Ivan Gabal (KDU-CSL, Stredocesky)",KDU-CSL,1,yellow
"Ludvik Hovorka (KDU-CSL, Zlinsky)",KDU-CSL,1,yellow
"Jiri Junek (KDU-CSL, Pardubicky)",KDU-CSL,1,yellow
"Vit Kankovsky (KDU-CSL, Vysocina)",KDU-CSL,1,yellow
"Jaroslav Klaska (KDU-CSL, Jihomoravsky)",KDU-CSL,1,yellow
"Jiri Mihola (KDU-CSL, Jihomoravsky)",KDU-CSL,1,yellow
"Tomas Jan Podivinsky (KDU-CSL, Moravskoslezsky)",KDU-CSL,1,yellow
"Ivan Adamec (ODS, Kralovehradecky)",ODS,1,blue
"Marek Benda (ODS, Praha)",ODS,1,blue
"Petr Bendl (ODS, Stredocesky)",ODS,1,blue
"Adolf Beznoska (ODS, Stredocesky)",ODS,1,blue
"Pavel Blazek (ODS, Jihomoravsky)",ODS,1,blue
"Jana Cernochova (ODS, Praha)",ODS,1,blue
"Jana Fischerova (ODS, Vysocina)",ODS,1,blue
"Miroslava Nemcova (ODS, Praha)",ODS,1,blue
"Zbynek Stanjura (ODS, Moravskoslezsky)",ODS,1,blue
"Jan Zahradnik (ODS, Jihocesky)",ODS,1,blue
